"lon"	"lat"	"z"
"1"	-85.25	31.57	-0.458687316579254
"2"	-87.42	32.23	-0.92532833443192
"3"	-85.87	32.98	-0.437081731916819
"4"	-88.13	33.13	-0.60267156170342
"5"	-86.5	31.32	-0.351994975613931
"6"	-85.85	33.58	0.506972209204649
"7"	-87.22	34.07	0.312013379487329
"8"	-86.27	33.83	-0.148725109793274
"9"	-87.48	31.17	-0.366554147731654
"10"	-85.5	32.6	0.39855127984447
"11"	-86.68	32.47	-0.0815338603361426
"12"	-87.35	33.45	-0.623910142717241
"13"	-87.78	30.88	0.913558390420471
"14"	-86.88	34.7	0.199599587249848
"15"	-86.97	33.35	-0.613579425333604
"16"	-86.72	32.67	-0.329084648352675
"17"	-86.75	33.57	-0.265772453293756
"18"	-86.17	34.22	0.221859797566002
"19"	-86.27	31.58	0.122642093368302
"20"	-87.05	31.07	0.0399646571756846
"21"	-85.73	34.93	0.684390538803722
"22"	-87.28	33.27	-0.398708379135815
"23"	-85.82	31.72	-0.32302720982836
"24"	-86.75	33.1	0.316175496203018
"25"	-87.32	32.03	-0.733165289032411
"26"	-85.68	32.83	0.782614078253283
"27"	-87.53	33.9	-1.11865971330507
"28"	-85.68	34.15	-0.0680188457385853
"29"	-86.37	33.28	-1.05623788582296
"30"	-86.33	33.28	-0.851290704097985
"31"	-88.23	31.08	-0.499992957664351
"32"	-87.52	31.53	-0.840864601832216
"33"	-86.63	32.85	-0.184968606626824
"34"	-88.22	30.38	-0.93895868018769
"35"	-85.92	31.17	0.150409430778914
"36"	-85.87	34.25	0.0927301102392606
"37"	-85.12	31.3	0.893246589324541
"38"	-87.18	33.77	1.17686276460855
"39"	-85.07	32.15	-0.189491165698107
"40"	-88.38	32.43	-0.492004330613147
"41"	-85.75	32.83	0.428271898341715
"42"	-88.28	33	-0.175431096246267
"43"	-87.65	32.35	-0.880816649654772
"44"	-86.97	34.62	-0.0336401927582368
"45"	-85.7	33.43	0.128027185192532
"46"	-87.83	32.52	-0.812381038894741
"47"	-85.43	31.23	0.0502196481631276
"48"	-87.42	34.15	0.386286375729686
"49"	-86.07	31.42	-1.12038926125412
"50"	-87.8	33.25	-0.196975768157184
"51"	-87.88	30.55	-1.05929059267684
"52"	-86.55	31.1	-0.0639121490006999
"53"	-86.92	34.37	0.722587362498085
"54"	-87.33	34.07	1.26461149919704
"55"	-87.83	33.68	-0.452931334122871
"56"	-88.02	30.23	-1.84503861801107
"57"	-85.72	34.43	1.26649513724239
"58"	-87.4	31.43	-0.228030735283533
"59"	-86	34.02	0.417418923952221
"60"	-88.13	32.83	0.0140938199856343
"61"	-86.75	34.02	0.477602987854217
"62"	-85.85	31.03	0.0407400544533532
"63"	-86.73	31.65	0.305087940701716
"64"	-88.33	31.88	-1.17585722480083
"65"	-87.2	33.65	-0.956811771589919
